"id","user_id","device_name","device_id","created_at","is_active"
"1","1","Test GPS Tracker","test_gps_engine","2025-12-25 18:38:19","1"
"id","device_id","user_id","latitude","longitude","satellites","recorded_at"
"615","1","1","13.03764000","80.24868800","10","2026-01-22 17:15:29"
"616","1","1","13.03762700","80.24864200","9","2026-01-22 17:15:42"
"617","1","1","13.03760600","80.24859600","9","2026-01-22 17:15:56"
"618","1","1","13.03762000","80.24857300","9","2026-01-22 17:16:31"
"619","1","1","13.03762600","80.24855800","9","2026-01-22 17:16:47"
"620","1","1","13.03763400","80.24852800","10","2026-01-22 17:17:01"
"621","1","1","13.03763700","80.24852800","9","2026-01-22 17:17:40"
"622","1","1","13.03763600","80.24851200","9","2026-01-22 17:17:47"
"623","1","1","13.03763500","80.24851200","10","2026-01-22 17:18:08"
"624","1","1","13.03765800","80.24849700","10","2026-01-22 17:19:00"
"625","1","1","13.03769300","80.24850500","11","2026-01-23 17:53:08"
"626","1","1","13.03769300","80.24850500","11","2026-01-23 17:53:21"
"627","1","1","13.03769000","80.24850500","13","2026-01-23 17:53:34"
"628","1","1","13.03769000","80.24849700","16","2026-01-23 17:53:47"
"629","1","1","13.03769100","80.24849700","16","2026-01-23 17:54:01"
"630","1","1","13.03769200","80.24849700","16","2026-01-23 17:54:14"
"631","1","1","13.03769300","80.24849700","16","2026-01-23 17:54:27"
"632","1","1","13.03769500","80.24848900","16","2026-01-23 17:54:40"
"633","1","1","13.03769600","80.24848900","16","2026-01-23 17:54:53"
"634","1","1","13.03769700","80.24848900","16","2026-01-23 17:55:06"
"635","1","1","13.03769700","80.24848900","16","2026-01-23 17:55:19"
"636","1","1","13.03769800","80.24848900","16","2026-01-23 17:55:32"
"637","1","1","13.03769900","80.24848900","16","2026-01-23 17:55:46"
"638","1","1","13.03770000","80.24848900","16","2026-01-23 17:55:59"
"639","1","1","13.03770000","80.24848900","16","2026-01-23 17:56:12"
"640","1","1","13.03770100","80.24848900","16","2026-01-23 17:56:25"
"641","1","1","13.03770200","80.24848900","16","2026-01-23 17:56:39"
"642","1","1","13.03770300","80.24848900","16","2026-01-23 17:56:52"
"643","1","1","13.03770400","80.24848200","16","2026-01-23 17:57:05"
"644","1","1","13.03770400","80.24848900","16","2026-01-23 17:57:19"
"645","1","1","13.03770500","80.24848200","16","2026-01-23 17:57:32"
"646","1","1","13.03770600","80.24848200","16","2026-01-23 17:57:46"
"647","1","1","13.03770700","80.24848200","16","2026-01-23 17:57:59"
"648","1","1","13.03770700","80.24848200","16","2026-01-23 17:58:12"
"649","1","1","13.03770700","80.24848200","16","2026-01-23 17:58:25"
"650","1","1","13.03770700","80.24848200","16","2026-01-23 17:58:38"
"651","1","1","13.03770700","80.24848200","16","2026-01-23 17:58:51"
"652","1","1","13.03770600","80.24848200","16","2026-01-23 17:59:04"
"653","1","1","13.03770600","80.24848900","17","2026-01-23 17:59:17"
"654","1","1","13.03770600","80.24848900","17","2026-01-23 17:59:30"
"655","1","1","13.03770600","80.24848900","16","2026-01-23 17:59:43"
"656","1","1","13.03770000","80.24848200","17","2026-01-23 17:59:57"
"657","1","1","13.03767200","80.24847400","15","2026-01-23 18:00:10"
"658","1","1","13.03770000","80.24848200","15","2026-01-23 18:00:49"
"659","1","1","13.03769900","80.24852800","14","2026-01-23 18:00:54"
"660","1","1","13.03764000","80.24849700","13","2026-01-23 18:01:10"
"661","1","1","13.03757300","80.24847400","11","2026-01-23 18:01:23"
"662","1","1","13.03753200","80.24845900","11","2026-01-23 18:01:37"
"663","1","1","13.03751000","80.24845100","12","2026-01-23 18:01:51"
"664","1","1","13.03750900","80.24844400","10","2026-01-23 18:02:04"
